workspace_id,workspace_name,capacity_name,report_id,report_name,report_total_pages,page_id,page_name,page_ordinal,view_date,view_count,unique_users,avg_dwell_seconds,top_persona
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p000,STUDY-101 — Study Overview,1,2026-03-02,3,1,21.8,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p001,STUDY-101 — Enrollment Funnel,2,2026-03-02,5,2,23.4,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p002,STUDY-101 — Site Performance,3,2026-03-02,1,1,19.2,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p003,STUDY-101 — Screen Fail Reasons,4,2026-03-02,1,1,15.0,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p004,STUDY-101 — Protocol Deviations,5,2026-03-02,2,1,15.7,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p005,STUDY-101 — Adverse Events Summary,6,2026-03-02,3,1,30.3,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p006,STUDY-101 — Serious Adverse Events,7,2026-03-02,1,1,15.9,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p007,STUDY-101 — SUSAR Tracking,8,2026-03-02,3,1,19.1,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p008,STUDY-101 — Concomitant Medications,9,2026-03-02,1,1,27.9,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p009,STUDY-101 — Lab Out-of-Range,10,2026-03-02,5,2,19.3,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p010,STUDY-101 — Vital Signs Trends,11,2026-03-02,16,3,37.5,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p011,STUDY-101 — ECG Findings,12,2026-03-02,14,3,43.3,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p012,STUDY-101 — Pharmacokinetics,13,2026-03-02,1,1,27.9,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p013,STUDY-101 — Dose Modifications,14,2026-03-02,53,5,81.4,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p014,STUDY-101 — Discontinuations,15,2026-03-02,1,1,12.4,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p015,STUDY-101 — Demographics,16,2026-03-02,5,2,21.5,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p016,STUDY-101 — Baseline Characteristics,17,2026-03-02,8,2,15.7,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p017,STUDY-101 — Patient Disposition,18,2026-03-02,4,1,17.4,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p018,STUDY-101 — Cohort Comparison,19,2026-03-02,4,1,15.2,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p019,STUDY-101 — Efficacy Primary Endpoint,20,2026-03-02,5,2,12.9,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p020,STUDY-101 — Efficacy Secondary Endpoints,21,2026-03-02,1,1,16.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p021,STUDY-101 — Tumor Response (RECIST),22,2026-03-02,1,1,20.2,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p022,STUDY-101 — Survival Curves,23,2026-03-02,1,1,9.7,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p024,STUDY-101 — Genomic Signatures,25,2026-03-02,1,1,17.9,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p027,STUDY-101 — Data Quality Dashboard,28,2026-03-02,1,1,14.8,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p030,STUDY-101 — IMP Accountability,31,2026-03-02,1,1,20.6,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p031,STUDY-101 — Temperature Excursions,32,2026-03-02,1,1,17.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p032,STUDY-101 — Vendor SLAs,33,2026-03-02,2,1,20.0,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p033,STUDY-101 — Country Operations,34,2026-03-02,1,1,16.9,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p034,STUDY-101 — Recruitment Forecast,35,2026-03-02,1,1,24.9,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p036,STUDY-101 — Budget Burn,37,2026-03-02,2,1,14.7,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p037,STUDY-101 — Milestone Tracker,38,2026-03-02,1,1,5.7,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p038,STUDY-101 — Risk Register,39,2026-03-02,1,1,20.7,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p039,STUDY-101 — Communications Log,40,2026-03-02,1,1,5.6,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p042,STUDY-101 — ICF Versions,43,2026-03-02,1,1,6.0,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p043,STUDY-101 — Translator Status,44,2026-03-02,1,1,14.1,Exec
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p046,STUDY-101 — Central Lab QC,47,2026-03-02,1,1,15.7,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p048,STUDY-101 — IRT Drug Resupply,49,2026-03-02,1,1,9.3,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p049,STUDY-101 — eCRF Completion,50,2026-03-02,1,1,12.4,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p050,STUDY-101 — Source Data Verification,51,2026-03-02,1,1,16.7,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p051,STUDY-101 — Audit Findings,52,2026-03-02,1,1,13.7,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p054,STUDY-101 — Statistical Analysis Plan,55,2026-03-02,1,1,6.6,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p001,STUDY-101 — Enrollment Funnel,2,2026-03-03,5,2,19.7,Commercial
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p002,STUDY-101 — Site Performance,3,2026-03-03,3,1,16.9,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p004,STUDY-101 — Protocol Deviations,5,2026-03-03,2,1,18.7,Data Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p005,STUDY-101 — Adverse Events Summary,6,2026-03-03,3,1,22.4,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p006,STUDY-101 — Serious Adverse Events,7,2026-03-03,1,1,14.9,Biostatistician
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p008,STUDY-101 — Concomitant Medications,9,2026-03-03,1,1,16.1,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p009,STUDY-101 — Lab Out-of-Range,10,2026-03-03,1,1,21.9,ClinOps Mgr
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p010,STUDY-101 — Vital Signs Trends,11,2026-03-03,17,3,25.5,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p011,STUDY-101 — ECG Findings,12,2026-03-03,17,3,32.7,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p012,STUDY-101 — Pharmacokinetics,13,2026-03-03,1,1,19.1,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p013,STUDY-101 — Dose Modifications,14,2026-03-03,45,5,66.1,Safety
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p014,STUDY-101 — Discontinuations,15,2026-03-03,1,1,11.3,Med Director
ws-clinops,Clinical Operations,Capacity-P1,rep-clin-study101,Phase III STUDY-101 — Clinical Trial Tracking,60,rep-clin-study101::p015,STUDY-101 — Demographics,16,2026-03-03,3,1,19.2,Med Director
